"subject","model","beta","log_likelihood"
498,"Exploitation",0.5,-56.1388136516197
498,"General",0.5,-54.8134814073074
498,"Learning",2,-49.9999175518354
498,"Planning",1,-55.6095156480849
499,"Equality",0,-56.1449216253556
499,"Equity",0,-56.1449216253556
499,"Exploitation",0,-56.1449216253556
499,"General",0,-56.1449216253556
499,"Learning",0,-56.1449216253556
499,"Planning",0,-56.1449216253556
500,"Equality",0,-56.1449216253556
500,"Equity",2,-44.9740675263042
500,"Exploitation",0,-56.1449216253556
500,"General",0,-56.1449216253556
500,"Learning",1.5,-53.4890487456891
500,"Planning",10,-9.25599132092199
501,"Equality",0,-56.1449216253556
501,"Equity",2.5,-42.5801326341326
501,"Exploitation",0,-56.1449216253556
501,"General",0,-56.1449216253556
501,"Learning",1.5,-52.6640487456891
501,"Planning",8,-22.8670365361153
502,"Equality",0,-56.1449216253556
502,"Equity",0,-56.1449216253556
502,"Exploitation",2,-49.0292612665294
502,"General",0,-56.1449216253556
502,"Learning",1,-53.8903731994091
502,"Planning",0,-56.1449216253556
503,"Equality",0,-56.1449216253556
503,"Equity",0.5,-55.254040274033
503,"Exploitation",0,-56.1449216253556
503,"General",0.5,-56.1384814073075
503,"Learning",1.5,-53.3840487456891
503,"Planning",2,-52.317590690713
504,"Equality",0,-56.1449216253556
504,"Equity",1,-53.3694772611993
504,"Exploitation",0,-56.1449216253556
504,"General",1,-53.2839108325692
504,"Learning",2,-50.6199175518354
504,"Planning",0.5,-56.0765901523299
505,"Equality",0,-56.1449216253556
505,"Equity",2.5,-41.2551326341326
505,"Exploitation",0,-56.1449216253556
505,"General",0,-56.1449216253556
505,"Learning",1,-54.2103731994091
505,"Planning",10,-12.155991320922
506,"Equality",0,-56.1449216253556
506,"Equity",1.5,-49.7376792690679
506,"Exploitation",0,-56.1449216253556
506,"General",0,-56.1449216253556
506,"Learning",1,-54.5003731994091
506,"Planning",5,-39.5247674457603
507,"Equality",0,-56.1449216253556
507,"Equity",0.5,-55.814040274033
507,"Exploitation",0,-56.1449216253556
507,"General",0.5,-55.6484814073075
507,"Learning",0,-56.1449216253556
507,"Planning",0,-56.1449216253556
508,"Equality",0,-56.1449216253556
508,"Equity",0,-56.1449216253556
508,"Exploitation",1,-54.6236448700215
508,"General",1.5,-50.8148992294971
508,"Learning",2.5,-47.92236356987
508,"Planning",1.5,-54.9287149422812
509,"Equality",0,-56.1449216253556
509,"Equity",2.5,-41.2301326341326
509,"Exploitation",0,-56.1449216253556
509,"General",0,-56.1449216253556
509,"Learning",1,-54.0403731994091
509,"Planning",10,-3.75599132092199
510,"Equality",0,-56.1449216253556
